Пр дир,Пр ф,Созд ф,Уд ф,Зап в ф,Чт ф,Смена дир,Просм ф-в в дир,Переим ф,См атриб ф
000,000,-,-,-,-,-,-,-,-
100,000,-,-,-,-,+,-,-,+
300,000,+,+,-,-,+,-,+,+
700,000,+,+,-,-,+,+,+,+
010,000,-,-,-,-,-,-,-,-
030,000,-,-,-,-,-,-,-,-
070,000,-,-,-,-,-,-,-,-
710,000,+,+,-,-,+,+,+,+
730,000,+,+,-,-,+,+,+,+
770,000,+,+,-,-,+,+,+,+
000,100,-,-,-,-,-,-,-,-
100,100,-,-,-,-,+,-,-,+
300,100,+,+,-,-,+,-,+,+
700,100,+,+,-,-,+,+,+,+
010,100,-,-,-,-,-,-,-,-
030,100,-,-,-,-,-,-,-,-
070,100,-,-,-,-,-,-,-,-
710,100,+,+,-,-,+,+,+,+
730,100,+,+,-,-,+,+,+,+
770,100,+,+,-,-,+,+,+,+
000,300,-,-,-,-,-,-,-,-
300,300,+,+,+,-,+,-,+,+
100,300,-,-,+,-,+,-,-,+
700,300,+,+,+,-,+,+,+,+
010,300,-,-,-,-,-,-,-,-
030,300,-,-,-,-,-,-,-,-
070,300,-,-,-,-,-,-,-,-
710,300,+,+,+,-,+,+,+,+
730,300,+,+,+,-,+,+,+,+
770,300,+,+,+,-,+,+,+,+
000,700,-,-,-,-,-,-,-,-
100,700,-,-,+,+,+,-,-,+
300,700,+,+,+,+,+,-,+,+
700,700,+,+,+,+,+,+,+,+
010,700,-,-,-,-,-,-,-,-
030,700,-,-,-,-,-,-,-,-
070,700,-,-,-,-,-,-,-,-
710,700,+,+,+,+,+,+,+,+
730,700,+,+,+,+,+,+,+,+
770,700,+,+,+,+,+,+,+,+
000,710,-,-,-,-,-,-,-,-
100,710,-,-,+,+,+,-,-,+
300,710,+,+,+,+,+,-,+,+
700,710,+,+,+,+,+,+,+,+
010,710,,,,,,,,
030,710,,,,,,,,
070,710,,,,,,,,
710,710,,,,,,,,
730,710,,,,,,,,
770,710,,,,,,,,
000,730,,,,,,,,
100,730,,,,,,,,
300,730,,,,,,,,
700,730,,,,,,,,
010,730,,,,,,,,
030,730,,,,,,,,
070,730,,,,,,,,
710,730,,,,,,,,
730,730,,,,,,,,
770,730,,,,,,,,
000,770,-,-,-,-,-,-,-,-
100,770,,,,,,,,
300,770,,,,,,,,
700,770,,,,,,,,
010,770,,,,,,,,
030,770,,,,,,,,
070,770,,,,,,,,
710,770,,,,,,,,
730,770,,,,,,,,
770,770,,,,,,,,
